Method,Average Execution Time,Total Execution Time,Average Memory Usage,Total Memory Usage
deeplift_zero_MEAN,6.341966816000004,158.5491704000001,818.81,20470.25
deeplift_zero_MEAN,6.341966816000004,158.5491704000001,818.81,20470.25
deeplift_random_MEAN,6.336002832000006,158.40007080000015,844.19265625,21104.81640625
deeplift_zero_MEAN,6.341966816000004,158.5491704000001,818.81,20470.25
deeplift_random_MEAN,6.336002832000006,158.40007080000015,844.19265625,21104.81640625
deeplift_mean_MEAN,6.357498455999998,158.93746139999996,857.86765625,21446.69140625
deeplift_zero_MEAN,6.341966816000004,158.5491704000001,818.81,20470.25
deeplift_random_MEAN,6.336002832000006,158.40007080000015,844.19265625,21104.81640625
deeplift_mean_MEAN,6.357498455999998,158.93746139999996,857.86765625,21446.69140625
captum_intGrad_v1_MEAN,9.90080288000001,247.52007200000025,2337.20140625,58430.03515625
deeplift_zero_MEAN,6.341966816000004,158.5491704000001,818.81,20470.25
deeplift_random_MEAN,6.336002832000006,158.40007080000015,844.19265625,21104.81640625
deeplift_mean_MEAN,6.357498455999998,158.93746139999996,857.86765625,21446.69140625
captum_intGrad_v1_MEAN,9.90080288000001,247.52007200000025,2337.20140625,58430.03515625
captum_intGrad_v2_MEAN,9.57077845599998,239.2694613999995,2233.2659375,55831.6484375
deeplift_zero_MEAN,6.341966816000004,158.5491704000001,818.81,20470.25
deeplift_random_MEAN,6.336002832000006,158.40007080000015,844.19265625,21104.81640625
deeplift_mean_MEAN,6.357498455999998,158.93746139999996,857.86765625,21446.69140625
captum_intGrad_v1_MEAN,9.90080288000001,247.52007200000025,2337.20140625,58430.03515625
captum_intGrad_v2_MEAN,9.57077845599998,239.2694613999995,2233.2659375,55831.6484375
captum_intGrad_v3_MEAN,9.55695963199998,238.9239907999995,2382.59546875,59564.88671875
captum_intGrad_v1_MEAN,6.813018851999992,170.3254712999998,819.72875,20493.21875
captum_intGrad_v1_MEAN,6.813018851999992,170.3254712999998,819.72875,20493.21875
captum_intGrad_v2_MEAN,6.771564535999999,169.28911339999996,843.018125,21075.453125
captum_intGrad_v1_MEAN,6.813018851999992,170.3254712999998,819.72875,20493.21875
captum_intGrad_v2_MEAN,6.771564535999999,169.28911339999996,843.018125,21075.453125
captum_intGrad_v3_MEAN,6.769337263999983,169.23343159999956,867.4875,21687.1875
captum_intGrad_v1_MEAN,6.813018851999992,170.3254712999998,819.72875,20493.21875
captum_intGrad_v2_MEAN,6.771564535999999,169.28911339999996,843.018125,21075.453125
captum_intGrad_v3_MEAN,6.769337263999983,169.23343159999956,867.4875,21687.1875
shuffle_MEAN,127.30347529599995,3182.5868823999986,934.70921875,23367.73046875
deeplift_zero_MEAN,6.372353592,159.3088398,827.26765625,20681.69140625
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean_stddev,6.038017555999984,150.9504388999996,738.3396875,18458.4921875
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean_stddev,6.038017555999984,150.9504388999996,738.3396875,18458.4921875
actif_inverted_weighted_mean,6.046390824000005,151.15977060000012,778.88046875,19472.01171875
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean_stddev,6.038017555999984,150.9504388999996,738.3396875,18458.4921875
actif_inverted_weighted_mean,6.046390824000005,151.15977060000012,778.88046875,19472.01171875
actif_robust,6.0489173039999695,151.22293259999924,799.10171875,19977.54296875
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean_stddev,6.038017555999984,150.9504388999996,738.3396875,18458.4921875
actif_inverted_weighted_mean,6.046390824000005,151.15977060000012,778.88046875,19472.01171875
actif_robust,6.0489173039999695,151.22293259999924,799.10171875,19977.54296875
nisp_v1_MEAN,6.138758996000006,153.46897490000015,913.77828125,22844.45703125
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean_stddev,6.038017555999984,150.9504388999996,738.3396875,18458.4921875
actif_inverted_weighted_mean,6.046390824000005,151.15977060000012,778.88046875,19472.01171875
actif_robust,6.0489173039999695,151.22293259999924,799.10171875,19977.54296875
nisp_v1_MEAN,6.138758996000006,153.46897490000015,913.77828125,22844.45703125
nisp_v1_MEANSTD,6.136694436000016,153.4173609000004,922.05046875,23051.26171875
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean_stddev,6.038017555999984,150.9504388999996,738.3396875,18458.4921875
actif_inverted_weighted_mean,6.046390824000005,151.15977060000012,778.88046875,19472.01171875
actif_robust,6.0489173039999695,151.22293259999924,799.10171875,19977.54296875
nisp_v1_MEAN,6.138758996000006,153.46897490000015,913.77828125,22844.45703125
nisp_v1_MEANSTD,6.136694436000016,153.4173609000004,922.05046875,23051.26171875
nisp_v1_INV,6.174894656000015,154.37236640000037,930.57234375,23264.30859375
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean_stddev,6.038017555999984,150.9504388999996,738.3396875,18458.4921875
actif_inverted_weighted_mean,6.046390824000005,151.15977060000012,778.88046875,19472.01171875
actif_robust,6.0489173039999695,151.22293259999924,799.10171875,19977.54296875
nisp_v1_MEAN,6.138758996000006,153.46897490000015,913.77828125,22844.45703125
nisp_v1_MEANSTD,6.136694436000016,153.4173609000004,922.05046875,23051.26171875
nisp_v1_INV,6.174894656000015,154.37236640000037,930.57234375,23264.30859375
nisp_v1_PEN,6.179509799999996,154.4877449999999,939.84953125,23496.23828125
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean_stddev,6.038017555999984,150.9504388999996,738.3396875,18458.4921875
actif_inverted_weighted_mean,6.046390824000005,151.15977060000012,778.88046875,19472.01171875
actif_robust,6.0489173039999695,151.22293259999924,799.10171875,19977.54296875
nisp_v1_MEAN,6.138758996000006,153.46897490000015,913.77828125,22844.45703125
nisp_v1_MEANSTD,6.136694436000016,153.4173609000004,922.05046875,23051.26171875
nisp_v1_INV,6.174894656000015,154.37236640000037,930.57234375,23264.30859375
nisp_v1_PEN,6.179509799999996,154.4877449999999,939.84953125,23496.23828125
nisp_v2_MEAN,6.163016891999996,154.0754222999999,946.4365625,23660.9140625
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean_stddev,6.038017555999984,150.9504388999996,738.3396875,18458.4921875
actif_inverted_weighted_mean,6.046390824000005,151.15977060000012,778.88046875,19472.01171875
actif_robust,6.0489173039999695,151.22293259999924,799.10171875,19977.54296875
nisp_v1_MEAN,6.138758996000006,153.46897490000015,913.77828125,22844.45703125
nisp_v1_MEANSTD,6.136694436000016,153.4173609000004,922.05046875,23051.26171875
nisp_v1_INV,6.174894656000015,154.37236640000037,930.57234375,23264.30859375
nisp_v1_PEN,6.179509799999996,154.4877449999999,939.84953125,23496.23828125
nisp_v2_MEAN,6.163016891999996,154.0754222999999,946.4365625,23660.9140625
nisp_v2_MEANSTD,6.1788880199999765,154.47220049999942,949.10015625,23727.50390625
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean_stddev,6.038017555999984,150.9504388999996,738.3396875,18458.4921875
actif_inverted_weighted_mean,6.046390824000005,151.15977060000012,778.88046875,19472.01171875
actif_robust,6.0489173039999695,151.22293259999924,799.10171875,19977.54296875
nisp_v1_MEAN,6.138758996000006,153.46897490000015,913.77828125,22844.45703125
nisp_v1_MEANSTD,6.136694436000016,153.4173609000004,922.05046875,23051.26171875
nisp_v1_INV,6.174894656000015,154.37236640000037,930.57234375,23264.30859375
nisp_v1_PEN,6.179509799999996,154.4877449999999,939.84953125,23496.23828125
nisp_v2_MEAN,6.163016891999996,154.0754222999999,946.4365625,23660.9140625
nisp_v2_MEANSTD,6.1788880199999765,154.47220049999942,949.10015625,23727.50390625
nisp_v2_INV,6.183857052000057,154.59642630000144,948.77515625,23719.37890625
actif_mean,6.118149843999998,152.95374609999993,713.05625,17826.40625
actif_mean_stddev,6.038017555999984,150.9504388999996,738.3396875,18458.4921875
actif_inverted_weighted_mean,6.046390824000005,151.15977060000012,778.88046875,19472.01171875
actif_robust,6.0489173039999695,151.22293259999924,799.10171875,19977.54296875
nisp_v1_MEAN,6.138758996000006,153.46897490000015,913.77828125,22844.45703125
nisp_v1_MEANSTD,6.136694436000016,153.4173609000004,922.05046875,23051.26171875
nisp_v1_INV,6.174894656000015,154.37236640000037,930.57234375,23264.30859375
nisp_v1_PEN,6.179509799999996,154.4877449999999,939.84953125,23496.23828125
nisp_v2_MEAN,6.163016891999996,154.0754222999999,946.4365625,23660.9140625
nisp_v2_MEANSTD,6.1788880199999765,154.47220049999942,949.10015625,23727.50390625
